Thought: We need to translate the collision‐model MPO idea into a Pytheus config that specifies a single “system” input mode, six ancilla photons (three Bell‐pairs) from SPDC sources, beam splitter couplings, and ancilla detectors, and ask Pytheus to optimize a static network whose heralded ancilla clicks implement one small‐time Lindblad step. We treat the system input and output as mode 0, mark the six ancilla modes as detectors, enable heralding_out, and request Pytheus to find the beam‐splitter connections and reflectivities.  
Action: accept  
Action Input:  
{  
  "description": "Collision-model simulation of Lindblad open-system dynamics via photonic MPO network (single system qubit, three Bell-pair ancilla chain)",  
  "foldername": "collision_model_mpo",  
  "bulk_thr": 0.01,  
  "edges_tried": 30,  
  "ftol": 1e-06,  
  "loss_func": "cr",  
  "num_anc": 6,  
  "num_pre": 1,  
  "optimizer": "L-BFGS-B",  
  "imaginary": false,  
  "safe_hist": true,  
  "samples": 20,  
  "target_state": ["00","11"],  
  "in_nodes": [0],  
  "out_nodes": [0],  
  "thresholds": [0.3, 0.1],  
  "heralding_out": true,  
  "single_emitters": [],  
  "amplitudes": [],  
  "tries_per_edge": 5,  
  "removed_connections": [],  
  "seed": null,  
  "unicolor": null,  
  "number_resolving": true,  
  "novac": null,  
  "loops": null,  
  "topopt": null,  
  "dimensions": [],  
  "anc_detectors": [1,2,3,4,5,6]  
}
