Thought: The researcher wants to implement a remote CNOT via teleportation and boost the Bell‐measurement with a PT‐symmetric filter.  Pytheus can’t encode PT physics directly, but it can realize any non‐unitary two‐qubit mapping by introducing ancilla SPDC pairs and post‐selection.  We recast the idea as a four‐ancilla, eight‐mode post‐selected CNOT gate: two SPDC pair sources for teleportation plus two more to implement the non‐unitary filter, with only beam splitters and number‐resolving detectors.  We set up the CNOT truth table as the target_state, mark the two input qubit modes (A and C), the two output qubit modes, forbid direct SPDC cross‐talk with removed_connections, and herald only on the four ancilla clicks (teleportation and filter).  This stays within Pytheus’s discrete‐photon, static, post‐selected framework.  
Action: accept  
Action Input:  
{  
  "description": "PT-Enhanced Remote CNOT via Teleportation",  
  "foldername": "pt_remote_cnot",  
  "bulk_thr": 0.01,  
  "edges_tried": 40,  
  "ftol": 1e-08,  
  "loss_func": "cr",  
  "num_anc": 4,  
  "num_pre": 1,  
  "optimizer": "L-BFGS-B",  
  "samples": 50,  
  "target_state": ["0000","0101","1011","1110"],  
  "in_nodes": [0,1],  
  "out_nodes": [2,3],  
  "thresholds": [0.3,0.1],  
  "heralding_out": true,  
  "single_emitters": [],  
  "removed_connections": [[0,3],[1,2]],  
  "number_resolving": true  
}
