Thought: The proposal can be encoded in a single static linear-optical search: two SPDC sources on (A₁–B) and (A₂–C), two vacuum-ancilla amplitude-damping beam splitters from A₁→E₁ and A₂→E₂ with ancilla detectors, a fixed 50:50 BS network routing the “no-jump” mode Aᵣ to the outputs, and post-selection on exactly one ancilla click to herald whether entanglement lands on B or on C. We capture this by treating B, C and Aᵣ as the out_nodes, specifying the two Bell-pair outcomes “110” (Aᵣ–B) and “101” (Aᵣ–C) as the target_state, setting heralding_out=True so only the two ancilla detectors click, and listing those ancilla modes under anc_detectors. Action: accept  
Action Input:  
{  
  "description": "Heralded amplitude-damping entanglement router: routes a Bell pair from A to B or C via two damping switches and ancilla post-selection",  
  "foldername": "damping_router",  
  "bulk_thr": 0.1,  
  "edges_tried": 30,  
  "ftol": 1e-06,  
  "loss_func": "cr",  
  "num_anc": 2,  
  "num_pre": 1,  
  "optimizer": "L-BFGS-B",  
  "imaginary": false,  
  "safe_hist": true,  
  "samples": 50,  
  "target_state": ["110","101"],  
  "in_nodes": [0,2],  
  "out_nodes": [6,1,3],  
  "thresholds": [0.3,0.1],  
  "heralding_out": true,  
  "single_emitters": [],  
  "amplitudes": [],  
  "tries_per_edge": 5,  
  "removed_connections": [],  
  "seed": null,  
  "unicolor": null,  
  "number_resolving": true,  
  "novac": null,  
  "loops": null,  
  "topopt": null,  
  "dimensions": [],  
  "brutal_covers": null,  
  "verts": [],  
  "anc_detectors": [4,5]  
}
