Thought: The researcher’s bilocality‐test network can be cast as a static, post‐selected entanglement‐swapping experiment: two independent SPDC pair sources feed modes 0–1 and 2–3, a linear‐optical Bell‐state‐measurement is implemented on modes 1–2 with four ancilla detectors (nodes 4–7), and upon the two‐click herald at B we leave modes 0 and 3 (nodes A and C) undetected but entangled.  This falls squarely within Pytheus’s capabilities: abstract Fock‐basis inputs, no dynamic feedback, only static linear optics and post‐selection.  We choose target_state = the four possible two‐pair input patterns (|00,00>,|01,10>,|10,01>,|11,11>) and set heralding_out=true so that modes 0 and 3 remain available.  All other settings mirror standard examples—CR loss, number‐resolving detectors, two SPDC sources by default, and four ancilla photons.  
Action: accept  
Action Input:  
{'description': 'Post-selected bilocality test via heralded entanglement swapping (two independent SPDC pairs + central linear-optical BSM)',  
 'foldername': 'bilocality_test',  
 'bulk_thr': 0.1,  
 'edges_tried': 30,  
 'ftol': 1e-06,  
 'loss_func': 'cr',  
 'num_anc': 4,  
 'num_pre': 1,  
 'optimizer': 'L-BFGS-B',  
 'imaginary': False,  
 'safe_hist': True,  
 'samples': 10,  
 'target_state': ['0000','0110','1001','1111'],  
 'in_nodes': [0,1,2,3],  
 'out_nodes': [0,3],  
 'thresholds': [0.3,0.1],  
 'heralding_out': True,  
 'single_emitters': [],  
 'amplitudes': [],  
 'tries_per_edge': 5,  
 'removed_connections': [],  
 'seed': None,  
 'unicolor': False,  
 'number_resolving': True,  
 'novac': None,  
 'loops': None,  
 'topopt': None,  
 'dimensions': [],  
 'anc_detectors': [4,5,6,7]}
